datetime,TCAp,sGRP,TSL_IR,TSL_Full,TSL_Vis,TSL_LUX,BMP_TempC,BMP_Pa,BMP_AltM,MPU_AccelXMss,MPU_AccelYMss,MPU_AccelZMss,MPU_GyroXRads,MPU_GyroYRads,MPU_GyroZRads,MPU_MagXuT,MPU_MagYuT,MPU_MagZuT,MPU_TempC,label,source_file
2020/07/20 11:08:05:377,1,0,645.0,1848.0,1203.0,127.81,27.52,100288.05,92.92,3.3,-6.59,-6.26,0.0,0.0,0.0,15.02,15.22,-10.34,31.03,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:05:503,7,1,86.0,259.0,173.0,18.86,26.84,100251.23,96.01,5.63,-6.23,-5.21,0.0,0.0,0.0,21.67,28.9,-27.1,29.75,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:05:630,1,0,645.0,1847.0,1202.0,127.66,27.53,100288.78,92.86,3.32,-6.58,-6.26,0.0,0.0,-0.0,15.55,14.54,-14.96,31.05,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:05:757,7,1,86.0,258.0,172.0,18.71,26.85,100250.86,96.04,5.65,-6.26,-5.24,-0.0,-0.01,0.0,13.86,29.24,-29.59,29.75,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:05:884,1,0,645.0,1848.0,1203.0,127.81,27.52,100288.68,92.87,3.33,-6.61,-6.26,0.0,0.0,0.0,14.49,15.51,-2.64,31.03,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:06:010,7,1,86.0,258.0,172.0,18.71,26.84,100251.34,96.0,5.63,-6.26,-5.23,0.0,0.01,-0.0,24.6,30.31,-28.35,29.75,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:06:137,1,0,645.0,1848.0,1203.0,127.81,27.53,100288.09,92.92,3.31,-6.58,-6.27,0.0,0.0,0.0,16.08,15.8,8.14,31.04,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:06:264,7,1,86.0,259.0,173.0,18.86,26.84,100252.01,95.95,5.66,-6.25,-5.24,-0.0,-0.0,0.0,23.62,29.4,-27.6,29.73,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:06:391,1,0,644.0,1847.0,1203.0,127.87,27.53,100288.86,92.85,3.31,-6.59,-6.28,0.0,0.0,0.0,15.37,15.6,-7.26,31.02,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:06:517,7,1,86.0,259.0,173.0,18.86,26.84,100252.58,95.9,5.66,-6.26,-5.21,-0.0,-0.0,-0.0,23.62,29.07,-28.6,29.76,ground_truth,inspection_ExFatLogger01.csv
