datetime,TCAp,sGRP,TSL_IR,TSL_Full,TSL_Vis,TSL_LUX,BMP_TempC,BMP_Pa,BMP_AltM,MPU_AccelXMss,MPU_AccelYMss,MPU_AccelZMss,MPU_GyroXRads,MPU_GyroYRads,MPU_GyroZRads,MPU_MagXuT,MPU_MagYuT,MPU_MagZuT,MPU_TempC,label,source_file
2020/07/20 20:27:09:781,0,0,81.0,499.0,418.0,57.14,28.8,100419.41,81.9,-7.7,-4.35,-3.69,-0.0,0.0,-0.0,17.0,15.14,-14.65,32.63,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:09:908,1,1,75.0,484.0,409.0,56.41,28.07,100462.55,78.28,5.64,-5.94,5.49,-0.01,-0.02,0.0,-7.72,16.22,-16.23,30.04,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:10:035,2,2,220.0,1309.0,1089.0,147.86,29.02,100426.22,81.33,6.58,-5.31,-5.15,-0.0,0.0,0.0,-13.22,11.9,10.27,30.37,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:10:162,0,0,81.0,499.0,418.0,57.14,28.8,100419.41,81.9,-7.9,-4.43,-3.31,-0.0,0.0,-0.0,16.44,16.23,-16.7,32.64,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:10:288,1,1,75.0,485.0,410.0,56.56,28.08,100464.16,78.15,5.5,-5.96,5.32,-0.0,0.0,-0.0,-7.72,15.1,-16.23,30.02,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:10:415,2,2,220.0,1308.0,1088.0,147.7,29.02,100422.77,81.62,6.56,-5.34,-5.08,-0.01,0.0,-0.0,-12.68,12.15,10.27,30.39,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:10:542,0,0,81.0,499.0,418.0,57.14,28.8,100415.09,82.26,-7.81,-4.45,-3.33,-0.0,0.0,0.0,16.21,15.79,-14.95,32.62,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:10:669,1,1,76.0,484.0,408.0,56.13,28.08,100465.23,78.06,5.59,-5.82,5.32,0.01,-0.0,0.01,-11.44,15.38,-14.48,30.03,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:10:795,2,2,220.0,1305.0,1085.0,147.22,29.02,100421.04,81.77,6.62,-5.24,-5.1,-0.0,0.0,0.0,-13.5,11.66,5.31,30.37,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:10:922,0,0,81.0,499.0,418.0,57.14,28.8,100413.2,82.42,-7.9,-4.36,-3.34,0.0,-0.0,0.0,17.33,14.49,-15.53,32.62,missing_pressure,storage_ExFatLogger08.csv
