datetime,TCAp,sGRP,TSL_IR,TSL_Full,TSL_Vis,TSL_LUX,BMP_TempC,BMP_Pa,BMP_AltM,MPU_AccelXMss,MPU_AccelYMss,MPU_AccelZMss,MPU_GyroXRads,MPU_GyroYRads,MPU_GyroZRads,MPU_MagXuT,MPU_MagYuT,MPU_MagZuT,MPU_TempC,label,source_file
2020/07/20 15:10:56:852,0,0,717.0,3402.0,2685.0,345.84,28.85,100192.64,100.93,-1.06,-8.87,-3.74,-0.04,0.05,-0.09,12.88,12.63,-38.68,29.96,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:10:56:979,0,0,410.0,1937.0,1527.0,196.46,28.86,100195.21,100.72,-0.47,-9.14,-3.79,-0.17,-0.06,-0.28,10.95,9.6,-25.86,29.96,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:10:57:106,0,0,377.0,1857.0,1480.0,192.5,28.86,100192.38,100.96,-0.83,-8.43,-5.04,-0.03,0.0,-0.01,9.01,10.3,-19.45,29.95,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:10:57:232,0,0,362.0,1851.0,1489.0,195.48,28.85,100194.28,100.8,-0.69,-8.44,-4.93,-0.01,0.0,0.0,9.98,11.7,-18.54,29.96,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:10:57:359,0,0,408.0,2058.0,1650.0,215.9,28.85,100194.8,100.75,-0.76,-8.88,-4.22,0.05,-0.0,0.01,9.5,12.28,-17.16,29.97,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:10:57:486,0,0,445.0,2213.0,1768.0,230.52,28.86,100193.75,100.84,-0.84,-8.4,-4.81,-0.0,0.01,0.03,11.43,12.75,-10.75,29.96,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:10:57:613,0,0,459.0,2275.0,1816.0,236.58,28.86,100191.26,101.05,-0.85,-8.52,-4.72,-0.01,-0.0,-0.03,10.3,14.27,-15.79,29.96,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:10:57:740,0,0,468.0,2308.0,1840.0,239.4,28.85,100193.85,100.83,-0.9,-8.49,-4.68,-0.0,-0.0,0.0,9.98,14.27,-14.87,29.93,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:10:57:867,0,0,477.0,2340.0,1863.0,242.06,28.86,100192.13,100.98,-0.9,-8.46,-4.63,-0.02,0.0,-0.01,9.34,14.27,-13.96,29.96,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:10:57:994,0,0,485.0,2371.0,1886.0,244.83,28.85,100190.58,101.11,-0.88,-8.26,-4.99,0.02,0.0,0.02,10.79,14.15,-14.42,29.96,missing_parts,shuttle_ExFatLogger02.csv
